question,label,tag
menerima pembayaran pakai bpjs buat cabut gigi?,asuransi,cabut gigi bpjs
mau cabut gigi di puskesmas biayanya berapa,biaya,tarif cabut gigi
cabut gigi kena tarif berapa biasanya,biaya,tarif cabut gigi
mau cabut gigi biayanya berapa,biaya,tarif cabut gigi
berapa tarif pencabutan gigi di poli gigi,biaya,tarif cabut gigi
mau cabut gigi bayarnya berapa kira2,biaya,tarif cabut gigi
cabut gigi mahal apa tidak,biaya,tarif cabut gigi
cabut gigi di puskesmas tarifnya berapa ya,biaya,tarif cabut gigi
mau cabut gigi kira kira harus bayar berapa,biaya,tarif cabut gigi
Cabut satu gigi berapa ya bayarnya,biaya,tarif cabut gigi
di puskesmas kalau cabut gigi biasanya bayar berapa?,biaya,tarif cabut gigi
tarif cabut gigi berapa?,biaya,tarif cabut gigi
cabut gigi permanen tarifnya berapa?,biaya,tarif cabut gigi
pencabutan gigi di puskesmas tarifnya berapa ya,biaya,tarif cabut gigi
harga cabut gigi berapa,biaya,tarif cabut gigi
mau cabut gigi biasanya harganya kisaran berapa,biaya,tarif cabut gigi
cabut gigi harus bayar berapa biasanya,biaya,tarif cabut gigi
melayani tambal gigi berlubang apa ga di puskesmas,layanan,tambal gigi
mau tambal gigi bisa?,layanan,tambal gigi
tambal gigi depan bisa?,layanan,tambal gigi
tambal gigi geraham bisa di puskesmas,layanan,tambal gigi
mau menambal gigi di puskesmas keputih bisa?,layanan,tambal gigi
melayani tambal gigi tidak ya,layanan,tambal gigi
bisa melayani tambal gigi?,layanan,tambal gigi
nambal gigi bisa kan di puskesmas keputih,layanan,tambal gigi
apa bsa tambal gigi depan di puskesmas?,layanan,tambal gigi
saya mau nambal gigi di puskesmas bisa kan?,layanan,tambal gigi
nambal gigi yang bolong bisa apa gak di puskesmas?,layanan,tambal gigi
Tambal gigi keropos di puskesmas keputih bisa apa tidak?,layanan,tambal gigi
Melayani tambal gigi kropos kan?,layanan,tambal gigi
Gigi geraham bolong gitu bisa tambal di poli gigi puskesmas kan?,layanan,tambal gigi
tpi katanya klo tambal gigi itu bisa pake bpjs ya?,asuransi,tambal gigi bpjs
di puskesmas bisa tambal gigi pake bpjs ga ya?,asuransi,tambal gigi bpjs
tambal gigi bisa pakai BPJS?,asuransi,tambal gigi bpjs
biaya tambal gigi di puskesmas apakah dicover bpjs,asuransi,tambal gigi bpjs
mau tambal gigi pakai bpjs,asuransi,tambal gigi bpjs
biaya menambal gigi bisa ditanggung BPJS apa tidak yaa,asuransi,tambal gigi bpjs
apa melayani tambal gigi untuk pasien bpjs?,asuransi,tambal gigi bpjs
tambal gigi boleh pakai BPJS?,asuransi,tambal gigi bpjs
BPJS bisa dipakai buat tambal gigi,asuransi,tambal gigi bpjs
dicover BPJS nggak kalo tambal gigi di puskesmas keputih,asuransi,tambal gigi bpjs
saya mau tambal gigi tapi pembayaran pakai bpjs apa bisa full gratis?,asuransi,tambal gigi bpjs
kalau tambal gigi pakai bpjs bisa full gratis gak,asuransi,tambal gigi bpjs
Tambal gigi bisa ditanggung BPJS?,asuransi,tambal gigi bpjs
mau tambal gigi tapi pakai bpjs apa boleh?,asuransi,tambal gigi bpjs
Tambal gigi yg bolong gitu bayarnya berapa,biaya,tarif tambal gigi
Penambalan gigi tarifnya berapa,biaya,tarif tambal gigi
Biaya tambal gigi di puskesmas berapa yaa,biaya,tarif tambal gigi
Nambal gigi berlubang bayarnya kisaran berapa?,biaya,tarif tambal gigi
Tambal gigi keropos tarifnya berapa,biaya,tarif tambal gigi
Bayar berapa kira-kira klo mau tambal satu gigi?,biaya,tarif tambal gigi
Biaya buat tambal gigi permanen berapa yaa,biaya,tarif tambal gigi
Tarif buat tambal gigi berapa?,biaya,tarif tambal gigi
tambal gigi di poli gigi puskesmas dikenai biaya berapa,biaya,tarif tambal gigi
Tambal gigi geraham gitu biasanya bayarnya berapa,biaya,tarif tambal gigi
Tambal gigi biayanya berapa buat 1 gigi?,biaya,tarif tambal gigi
Tambal gigi harganya berapa ya kalo di puskesmas?,biaya,tarif tambal gigi
Penambalan gigi berlubang tarifnya berapa di puskesmas?,biaya,tarif tambal gigi
Tambal gigi permanen biayanya brp di puskesmas keputih,biaya,tarif tambal gigi
Biaya tambal gigi kisaran berapa ya?,biaya,tarif tambal gigi
poli gigi puskesmas melayani pasang behel apa gak ya,layanan,behel
pasang kawat gigi bisa gak,layanan,behel
di puskesmas bisa pasang behel atau engga?,layanan,behel
apa bisa pasang behel di puskesmas,layanan,behel
melayani pasang behel atau tidak,layanan,behel
klo mau pasang behel di puskesmas bisa apa gak?,layanan,behel
melayani pasang kawat gigi?,layanan,behel
dokter gigi di puskesmas bisa pasang behel gak,layanan,behel
gigi saya tidak rapi kalau ke dokter gigi di puskesmas minta pasang kawat gigi bisa tidak?,layanan,behel
melayani pemasangan behel?,layanan,behel
di poli gigi puskesmas keputih bisa pasang behel,layanan,behel
ada pelayanan buat pasang kawat gigi/behel gak,layanan,behel
bisa masang behel di puskesmas?,layanan,behel
Apakah bisa konsultasi dengan psikolog di Puskesmas Keputih?,layanan,konseling
apa bisa konseling di Puskesmas Keputih,layanan,konseling
mau konsul ke psikolog bisa,layanan,konseling
saya mau konsultasi dengan psikolog di puskesmas apa bisa,layanan,konseling
melayani konsultasi kesehatan mental gak ya di puskesmas,layanan,konseling
saya mau konsul sama psikolog tentang mental health,layanan,konseling
ada praktek psikolog gak di puskesmas,layanan,konseling
klo konsul tentang mental health di puskesmas gitu apa bisa,layanan,konseling
mau konsul sama ahli jiwa di puskesmas ada?,layanan,konseling
mau konsultasi dengan psikolog apa bisa,layanan,konseling
ada psikolog tidak ya di puskesmas saya mau konsultasi,layanan,konseling
konseling di puskesmas keputih bisa,layanan,konseling
di puskesmas bisa konsul sama psikolog gitu gak?,layanan,konseling
apa ada psikolog di puskesmas keputih,layanan,konseling
ke psikolog bisa pake bpjs gak ya?,asuransi,konseling bpjs
biaya ke psikolog bisa dicover bpjs tidak?,asuransi,konseling bpjs
pakai BPJS buat ke psikolog gitu bisa gak ya,asuransi,konseling bpjs
konsultasi mental health ke psikolog boleh pakai bpjs,asuransi,konseling bpjs
mau konsultasi dengan psikolog pakai bpjs,asuransi,konseling bpjs
menerima konsultasi psikologi pasien BPJS ngga?,asuransi,konseling bpjs
saya mau ketemu psikolog pembayarannya bisa dicover bpjs apa tidak?,asuransi,konseling bpjs
ke psikolog pakai bpjs bisa kan?,asuransi,konseling bpjs
melayani konseling ke psikolog pakai bpjs?,asuransi,konseling bpjs
saya mau konsul ke psikolog bisa pakai bpjs?,asuransi,konseling bpjs
bpjs saya bukan puskesmas keputih apa tetep bisa dipakai buat konsul ke psikolog,asuransi,konseling bpjs
kalau Cuma mau konsul sama psikolog gitu boleh pakai bpjs?,asuransi,konseling bpjs
apa bisa pakai bpjs untuk konsultasi dengan psikolog?,asuransi,konseling bpjs
konsultasi buat kesehatan mental bayar berapa,biaya,tarif konseling
konsul sama psikolog bayarnya berapa,biaya,tarif konseling
konsultasi sama ahli jiwa di puskesmas bayarnya kisaran berapa,biaya,tarif konseling
sekali konsul kena tarif berapa ya di ahli jiwa,biaya,tarif konseling
konsultasi sama psikolog tarifnya berapa sekali pertemuan,biaya,tarif konseling
sekali pertemuan sama psikolog bayarnya berapa,biaya,tarif konseling
mau konsultasi kesehatan mental sama psikolog harus bayar berapa,biaya,tarif konseling
konsul sama psikolog tarifnya berapa di puskesmas,biaya,tarif konseling
konsultasi mental health bayarnya berapa sekali pertemuan,biaya,tarif konseling
boleh minta info tarif konsultasi psikologi,biaya,tarif konseling
tarif konsultasi jiwa berapa ya,biaya,tarif konseling
jadwal posyandu setiap hari apa?,layanan,posyandu
jadwal posyandu balita kapan?,layanan,posyandu
posyandu tiap hari apa,layanan,posyandu
posyandu di medokan semampir kapan?,layanan,posyandu
jadwal posyandu berubah ubah yaa?,layanan,posyandu
imunisasi balita kapan?,layanan,posyandu
posyandu buat balita setiap hari apa ya,layanan,posyandu
posyandu dari puskesmas itu jadwalnya kapan aja ya,layanan,posyandu
posyandu kapan,layanan,posyandu
melayani posyandu tiap hari apa,layanan,posyandu
posyandu yang rutin tiap bulan gitu jadwalnya tiap tanggal berapa?,layanan,posyandu
posyandu jadwalnya tidak pasti apa gimana?,layanan,posyandu
posyandu setiap tanggal berapa?,layanan,posyandu
posyandu bulan ini kapan diadakan?,layanan,posyandu
bisa pesan nomor antrian?,layanan,antrian
bisa minta nomor buat melakukan pemeriksaan di poli anak,layanan,antrian
bisa ambil nomor antrian disini?,layanan,antrian
cara ambil antrian gimana,layanan,antrian
buat daftar antrian caranya gimana,layanan,antrian
daftar antri apa harus langsung ke puskesmas,layanan,antrian
ambil nomor antrian caranya gmna?,layanan,antrian
apa bisa pesen nomor antrian disini?,layanan,antrian
cara daftar nomor antrian bagaimana,layanan,antrian
ambil nomor antrian bisa datang langsung ke puskesmas apa tidak,layanan,antrian
ambil antrian apa Cuma bisa lewat ehealth?,layanan,antrian
mau berobat langsung ke puskesmas bisa kan ya gak harus lewat ehealth,layanan,antrian
antrian bisa lewat loket langsung kan,layanan,antrian
cara rujukan,layanan,rujukan
bisa gak minta rujukan ke rs dari puskesmas,layanan,rujukan
bisa minta rujukan,layanan,rujukan
kalo mau minta rujukan prosedurnya gimana,layanan,rujukan
mau minta rujukan ke rs bisa?,layanan,rujukan
mau ajukan rujukan gimana caranya,layanan,rujukan
saya mau minta rujukan buat ke rs bisa,layanan,rujukan
minta rujukan dari puskesmas bagaimana caranya,layanan,rujukan
bisa minta rujukan dari puskesmas,layanan,rujukan
prosedur rujukan bagaimana,layanan,rujukan
mau minta rujukan,layanan,rujukan
bisa melakukan rujukan pasien,layanan,rujukan
pasien bisa dirujuk dari puskesmas?,layanan,rujukan
boleh minta rujukan dari puskesmas keputih,layanan,rujukan
layanan di poli umum apa saja,layanan,poli umum
mau medical checkup gitu bisa kan di puskesmas,layanan,poli umum
di poli umum puskesmas keputih melayani apa aja,layanan,poli umum
rawat luka gitu bisa di dokter umum,layanan,poli umum
mau peraawatan luka ringan bisa?,layanan,poli umum
pemeriksaan di poli umum melayani apa aja,layanan,poli umum
bisa screening kesehatan jamaah haji?,layanan,poli umum
rawat luka ke puskesmas bisa?,layanan,poli umum
poli umum melayani apa saja?,layanan,poli umum
bisa tindakan bedah gak di puskesmas?,layanan,poli umum
mau konsultasi ke dokter umum bisa?,layanan,poli umum
melayani perawatan luka habis kecelakaan gitu gak,layanan,poli umum
bisa menangani luka bakar?,layanan,poli umum
pembayaran di puskesmas keputih bisa qris ato harus cash?,biaya,pembayaran
bayar di puskesmas bisa cashless gak,biaya,pembayaran
pembayaran bisa qris kah?,biaya,pembayaran
bayarnya apa harus cash,biaya,pembayaran
apa di puskesmas keputih Cuma menerima pembayaran cash,biaya,pembayaran
bayar berobat di puskesmas pakai qris bisa tidak ya?,biaya,pembayaran
bayar berobat harus cash ya?,biaya,pembayaran
terima pembayaran cashless gak,biaya,pembayaran
Cuma menerima pembayaran tunai?,biaya,pembayaran
bisa cashless?,biaya,pembayaran
bayar pakai qris bisa gak?,biaya,pembayaran
harus cash ya di puskesmas,biaya,pembayaran
terima pembayaran qris apa tidak,biaya,pembayaran
harus pembayaran tunai kalau berobat ke puskesmas?,biaya,pembayaran
boleh pakai qris gak buat bayar?,biaya,pembayaran
gak bisa bayar pakai qris?,biaya,pembayaran
harus uang tunai ya pembayarannya?,biaya,pembayaran
berapa tarif periksa/konsultasi,biaya,tarif
tarif pemeriksaan pasien non-bpjs berapa,biaya,tarif
tarif pengobatan untuk pasien umum berapa,biaya,tarif
periksa gak pakai bpjs bayar brp ya,biaya,tarif
biaya pengobatan buat pasien berapa?,biaya,tarif
biaya pemeriksaan untuk pasien non-bpjs berapa?,biaya,tarif
biasanya pemeriksaan biasa gitu bayarnya berapa?,biaya,tarif
kalau gak pakai bpjs bayar berapa?,biaya,tarif
pemeriksaan di dokter umum gitu tarifnya berapa?,biaya,tarif
periksa biasa gitu kisaran berapa bayarnya,biaya,tarif
pasien non-bpjs kena berapa kalo mau konsul sama dokter?,biaya,tarif
tarif buat pasien umum berapa,biaya,tarif
kalo periksa ke puskesmas pake bpjs itu beneran full gratis kan?,asuransi,bpjs
pakai bpjs buat berobat bisa?,asuransi,bpjs
BPJS kalau luar kota bisa dipakai di puskesmas keputih?,asuransi,bpjs
faskes 1 bukan puskesmas keputih tetep bisa dipakai gak?,asuransi,bpjs
apa bisa berobat pakai BPJS di puskesmas?,asuransi,bpjs
periksa pakai bpjs faskes tingkat 1 harus puskesmas keputih?,asuransi,bpjs
kalau faskes 1 bpjs saya bukan puskesmas keputih masih bisa dipakai disana?,asuransi,bpjs
apa boleh bpjs bukan puskesmas keputih,asuransi,bpjs
bpjs saya faskes nya luar kota berati tidak bisa dipakai disini ya?,asuransi,bpjs
Pakai bpjs bisa?,asuransi,bpjs
Kalau mau pakai bpjs harus faskes tingkat 1nya keputih?,asuransi,bpjs
Melayani pasien bpjs kan?,asuransi,bpjs
bpjs saya faskesnya bukan puskesmas keputih tetap bisa dipakai apa tidak?,asuransi,bpjs
Mau nanya kalo ngurus surat keterangan sehat di puskesmas kita harus bawa apa aja ya?,layanan,surat sehat
Bisa minta surat sehat dari dokter,layanan,surat sehat
Mau minta surat sehat buat lamar pekerjaan bagaimana caranya?,layanan,surat sehat
Bisa minta surat keterangan sehat dari dokter?,layanan,surat sehat
Minta surat sehat gimana caranya?,layanan,surat sehat
minta surat sehat buat persyaratan magang bisa?,layanan,surat sehat
cara minta surat sehat gimana?,layanan,surat sehat
di puskesmas bisa minta surat keterangan bebas narkoba,layanan,surat sehat
di puskesmas bisa minta surat keterangan sehat,layanan,surat sehat
klo mau minta surat sehat bagaimana?,layanan,surat sehat
butuh surat sehat mintanya kemana ya?,layanan,surat sehat
minta suket sehat bisa kan ya?,layanan,surat sehat
kalo mau minta surat sehat dari dokter bayar berapa,biaya,tarif surat
minta surat keterangan sehat gitu bayar gak,biaya,tarif surat
buat bikin surat sehat ada tarifnya gak? Berapa?,biaya,tarif surat
minta suket sehat dari puskesmas bayar berapa,biaya,tarif surat
kalau minta surat keterangan sehat ada biayanya gak,biaya,tarif surat
minta surat sehat bisa gratis gak,biaya,tarif surat
butuh surat sehat bisa kan? Biayanya berapa?,biaya,tarif surat
tarif pembuatan surat sehat ,biaya,tarif surat
biaya minta surat keterangan sehat dari dokter,biaya,tarif surat
pembuatan surat sehat ada feenya?,biaya,tarif surat
pembuatan surat sehat biayanya berapa,biaya,tarif surat
kalau seumpama mau cek mata minus di puskesmas bisa ga si,layanan,mata
"periksa mata di puskesmas bisa kan yaa, caranya gimana ya?",layanan,mata
